name,M/F
Aarav,Male
Aarnav,Male
Aarush,Male
Aayush,Male
Abdul,Male
Abeer,Male
Abhimanyu,Male
Abhiramnew,Male
Aditya,Male
Advaith,Male
Advay,Male
Advik,Male
Agastya,Male
Akshay,Male
Amol,Male
Anay,Male
Anirudh,Male
Anmol,Male
Ansh,Male
Arin,Male
Arjun,Male
Arnav,Male
Aryan,Male
Atharv,Male
Avi,Male
Ayaan,Male
Ayush,Male
Ayushman,Male
Azaan,Male
Azad,Male
Brijesh,Male
Bachittar,Male
Bahadurjit,Male
Bakhshi,Male
Balendra,Male
Balhaar,Male
Baljiwan,Male
Balvan,Male
Balveer,Male
Banjeet,Male
Chaitanya,Male
Chakradev,Male
Chakradhar,Male
Champak,Male
Chanakya,Male
Chandran,Male
Chandresh,Male
Charan,Male
Chatresh,Male
Chatura,Male
Daksh,Male
Darsh,Male
Dev,Male
Devansh,Male
Dhruv,Male
Dakshesh,Male
Dalbir,Male
Darpan,Male
Ekansh,Male
Ekalinga,Male
Ekapad,Male
Ekavir,Male
Ekaraj,Male
Ekbal,Male
Farhan,Male
Falan,Male
Faqid,Male
Faraj,Male
Faras,Male
Fitan,Male
Fariq,Male
Faris,Male
Fiyaz,Male
Frado,Male
Gautam,Male
Gagan,Male
Gaurang,Male
Girik,Male
Girindra,Male
Girish,Male
Gopal,Male
Gaurav,Male
Gunbir,Male
Guneet,Male
Harsh,Male
Harshil,Male
Hredhaan,Male
Hardik,Male
Harish,Male
Hritik,Male
Hitesh,Male
Hemang,Male
Isaac,Male
Ishaan,Male
Imaran,Male
Indrajit,Male
Ikbal,Male
Ishwar,Male
Jainew,Male
Jason,Male
Jagdish,Male
Jagat,Male
Jatin,Male
Jai,Male
Jairaj,Male
Jeet,Male
Kabir,Male
Kalpit,Male
Karan,Male
Kiaan,Male
Krish,Male
Krishna,Male
Laksh,Male
Lakshay,Male
Lucky,Male
Lakshit,Male
Lohit,Male
Laban,Male
Manan,Male
Mohammed,Male
Madhav,Male
Mitesh,Male
Maanas,Male
Manbir,Male
Maanav,Male
Manthan,Male
Nachiket,Male
Naksh,Male
Nakul,Male
Neel,Male
Nakul,Male
Naveen,Male
Nihal,Male
Nitesh,Male
Om,Male
Ojas,Male
Omkaar,Male
Onkar,Male
Â Onveer,Male
Orinder,Male
Parth,Male
Pranav,Male
Praneel,Male
Pranit,Male
Pratyush,Male
Qabil,Male
Qadim,Male
Qarin,Male
Qasim,Male
Rachit,Male
Raghav,Male
Ranbir,Male
Ranveer,Male
Rayaan,Male
Rehaannew,Male
Reyansh,Male
Rishi,Male
Rohan,Male
Ronith,Male
Rudranew,Male
Rushil,Male
Ryan,Male
Sai,Male
Saksham,Male
Samaksh,Male
Samar,Male
Samarth,Male
Samesh,Male
Sarthak,Male
Sathviknew,Male
Shaurya,Male
Shivansh,Male
Siddharth,Male
Tejas,Male
Tanay,Male
Tanish,Male
Tarak,Male
Teerth,Male
Tanveer,Male
Udant,Male
Udarsh,Male
Utkarsh,Male
Umang,Male
Upkaar,Male
Vedant,Male
Veer,Male
Viaannew,Male
Vihaan,Male
Viraj,Male
Vivaan,Male
Wahab,Male
Wazir,Male
Warinder,Male
Warjas,Male
Wriddhish,Male
Wridesh,Male
Yash,Male
Yug,Male
Yatin,Male
Yuvraj,Male
Yagnesh,Male
Yatan,Male
Zayan,Male
Zaid,Male
Zayyan,Male
Zashil,Male
Zehaan,Male
Tanveer,Male
Udant,Male
Udarsh,Male
Utkarsh,Male
Umang,Male
Upkaar,Male
Vedant,Male
Veer,Male
Viaannew,Male
Vihaan,Male
Viraj,Male
Vivaan,Male
Wahab,Male
Wazir,Male
Warinder,Male
Warjas,Male
Wriddhish,Male
Wridesh,Male
Yash,Male
Yug,Male
Yatin,Male
Yuvraj,Male
Yagnesh,Male
Yatan,Male
Zayan,Male
Zaid,Male
Zayyan,Male
Zashil,Male
Zehaan,Male
Tanveer,Male
Udant,Male
Udarsh,Male
Utkarsh,Male
Umang,Male
Upkaar,Male
Vedant,Male
Veer,Male
Viaannew,Male
Vihaan,Male
Viraj,Male
Vivaan,Male
Wahab,Male
Wazir,Male
Warinder,Male
Warjas,Male
Wriddhish,Male
Wridesh,Male
Yash,Male
Yug,Male
Yatin,Male
Yuvraj,Male
Yagnesh,Male
Yatan,Male
Zayan,Male
Zaid,Male
Zayyan,Male
Zashil,Male
Zehaan,Male
Tanveer,Male
Udant,Male
Udarsh,Male
Utkarsh,Male
Umang,Male
Upkaar,Male
Vedant,Male
Veer,Male
Viaannew,Male
Vihaan,Male
Viraj,Male
Vivaan,Male
Wahab,Male
Wazir,Male
Warinder,Male
Warjas,Male
Wriddhish,Male
Wridesh,Male
Yash,Male
Yug,Male
Yatin,Male
Yuvraj,Male
Yagnesh,Male
Yatan,Male
Zayan,Male
Zaid,Male
Zayyan,Male
Zashil,Male
Zehaan,Male
Tanveer,Male
Udant,Male
Udarsh,Male
Utkarsh,Male
Umang,Male
Upkaar,Male
Vedant,Male
Veer,Male
Viaannew,Male
Vihaan,Male
Viraj,Male
Vivaan,Male
Wahab,Male
Wazir,Male
Warinder,Male
Warjas,Male
